,OP_CARRIER,ORIGIN,DEST,DEP_DELAY,ARR_DELAY,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE
0,9E,ABE,ATL,11.991379310344827,9.68945868945869,131.5042735042735,104.4985754985755,692.0
1,9E,ABY,ATL,13.138613861386139,14.819444444444445,62.20696324951644,37.55705996131528,145.0
2,9E,ACK,LGA,43.78260869565217,42.9010989010989,80.91397849462365,48.46236559139785,202.0
3,9E,AEX,ATL,8.303030303030303,2.1616161616161618,99.70221327967806,72.54325955734406,500.0
4,9E,AGS,ATL,11.164383561643836,8.58600583090379,63.03868471953578,33.851063829787236,143.0
5,9E,AGS,LGA,50.166666666666664,49.5,116.83333333333333,89.0,678.0
6,9E,ALB,DTW,1.6518987341772151,-3.8227848101265822,103.0,79.81012658227849,489.0
7,9E,ATL,ABE,7.293948126801153,2.194842406876791,120.19318181818181,94.0,692.0
8,9E,ATL,ABY,4.187376725838265,1.19009900990099,52.941520467836256,30.30019493177388,145.0
9,9E,ATL,AEX,9.026530612244898,2.616632860040568,103.1008064516129,80.87096774193549,500.0
10,9E,ATL,AGS,8.879293424926399,7.989310009718173,55.58863198458574,30.360308285163775,143.0
11,9E,ATL,ATW,9.090047393364928,4.971153846153846,132.08962264150944,105.75,765.0
12,9E,ATL,AVL,8.450636942675159,5.950558213716109,58.83568075117371,34.652582159624416,164.0
13,9E,ATL,BHM,22.594594594594593,20.19178082191781,53.49333333333333,32.08,134.0
14,9E,ATL,BMI,18.96502057613169,13.824380165289256,103.20570264765784,80.35845213849286,533.0
15,9E,ATL,BQK,4.596281540504648,1.0888594164456233,67.6818774445893,42.628422425032596,238.0
16,9E,ATL,BTR,8.039930555555555,2.0949913644214164,94.0442930153322,71.13458262350937,448.0
17,9E,ATL,BTV,3.8285714285714287,-0.8,144.22857142857143,117.14285714285714,961.0
18,9E,ATL,CAE,13.70110701107011,8.847826086956522,59.344086021505376,34.89964157706093,192.0
19,9E,ATL,CAK,7.488636363636363,1.8039772727272727,96.81920903954803,73.454802259887,528.0
20,9E,ATL,CHA,5.92741935483871,1.2610441767068272,47.687872763419485,24.968190854870777,106.0
21,9E,ATL,CHO,5.530701754385965,-1.901470588235294,91.76453488372093,67.21947674418605,457.0
22,9E,ATL,CHS,29.133333333333333,28.8,71.13333333333334,44.93333333333333,259.0
23,9E,ATL,CID,6.6626865671641795,0.4065281899109792,124.45930232558139,98.74127906976744,694.0
24,9E,ATL,CRW,7.912244897959184,3.2868852459016393,81.15151515151516,58.03030303030303,363.0
25,9E,ATL,CSG,8.540511727078892,6.055616139585605,45.22673796791444,21.931550802139036,83.0
26,9E,ATL,DHN,-1.8181818181818181,-3.1515151515151514,58.878787878787875,33.27272727272727,170.0
27,9E,ATL,DSM,13.083333333333334,4.527777777777778,133.11111111111111,108.33333333333333,743.0
28,9E,ATL,ELM,21.2,-4.333333333333333,114.0,89.11111111111111,717.0
29,9E,ATL,EVV,6.0807926829268295,2.0784615384615384,82.31428571428572,57.990977443609026,350.0
30,9E,ATL,EWN,5.944915254237288,2.599571734475375,84.68776371308017,61.54852320675106,433.0
31,9E,ATL,EYW,36.95238095238095,46.95238095238095,118.2063492063492,90.38095238095238,646.0
32,9E,ATL,FAR,5.0,3.75,188.5,168.0,1123.0
33,9E,ATL,FAY,5.537122969837587,2.6196531791907516,76.66402714932127,52.547511312217196,331.0
34,9E,ATL,FNT,6.096078431372549,4.224609375,115.20419847328245,91.24236641221374,645.0
35,9E,ATL,FSD,10.909090909090908,1.0909090909090908,165.9090909090909,140.0,954.0
36,9E,ATL,FSM,11.305970149253731,6.771535580524344,112.63940520446097,90.53531598513011,579.0
37,9E,ATL,GNV,5.509774436090225,1.665909090909091,73.42825278810409,48.95687732342007,300.0
38,9E,ATL,GPT,6.7592592592592595,7.901840490797546,82.39644970414201,56.40236686390533,352.0
39,9E,ATL,GRB,13.777049180327868,8.552715654952078,128.5379746835443,104.64873417721519,774.0
40,9E,ATL,GRK,5.888888888888889,-3.6315789473684212,141.57894736842104,118.10526315789474,803.0
41,9E,ATL,GSO,4.818181818181818,2.2222222222222223,75.13333333333334,49.08888888888889,306.0
42,9E,ATL,GSP,11.068627450980392,7.019607843137255,54.271844660194176,31.349514563106798,153.0
43,9E,ATL,GTR,9.713787085514834,3.575438596491228,67.98434782608696,44.80173913043478,241.0
44,9E,ATL,HOU,11.0,13.0,147.0,112.0,696.0
45,9E,ATL,HPN,15.382767191383596,11.268879668049793,136.69672131147541,111.29672131147541,780.0
46,9E,ATL,HSV,8.738853503184714,4.891025641025641,57.32098765432099,33.96296296296296,151.0
47,9E,ATL,IAH,6.334763948497854,6.661087866108787,133.14462809917356,104.9297520661157,689.0
48,9E,ATL,ILM,6.950765864332604,2.2682660850599783,80.28679653679653,57.077922077922075,377.0
49,9E,ATL,JAN,14.265486725663717,11.732142857142858,82.60176991150442,57.769911504424776,341.0
50,9E,ATL,LEX,7.180026281208936,1.3040629095674967,71.87467700258398,49.17829457364341,304.0
51,9E,ATL,LFT,8.092783505154639,1.7305699481865284,105.42487046632124,82.19170984455958,503.0
52,9E,ATL,LIT,12.387096774193548,7.387096774193548,94.48387096774194,71.90322580645162,453.0
53,9E,ATL,LNK,10.979274611398964,3.9390862944162435,142.43654822335026,118.96446700507614,841.0
54,9E,ATL,MDT,9.857142857142858,3.0952380952380953,106.04761904761905,80.52380952380952,620.0
55,9E,ATL,MGM,8.497109826589595,6.1664753157290475,55.466515323496026,32.8422247446084,147.0
